index,cor_0,cor_1,cor_2,cor_3,cor_4,cor_5,cor_6,cor_7,cor_8,cor_9,cor_10,cor_11,cor_12,cor_13,cor_14,cor_15,cor_16,cor_17,cor_18,cor_19,cor_20,cor_21,cor_22,cor_23,cor_24,status_hit,status_miss,status_na,status_shipsunk,attack_col_a,attack_col_b,attack_col_c,attack_col_d,attack_col_e
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
3,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
4,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,1,0,0
5,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,1,0,0,1,0,0,0,0,0,0,1,0
6,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,1,1,0,1,0,0,0,0,0,0,0,1
7,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,1,1,1,1,0,0,0,1,0,1,0,0,0
8,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,-1,1,1,1,1,1,0,0,0,0,1,0,0,0
9,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,-1,0,-1,0,0,0,-1,1,1,1,1,0,1,0,0,1,0,0,0,0
10,0,0,0,0,0,-1,0,0,0,0,1,1,0,0,-1,0,-1,0,0,0,-1,1,1,1,1,1,0,0,0,0,0,1,0,0
11,0,0,0,0,0,-1,0,0,0,0,1,1,1,0,-1,0,-1,0,0,0,-1,1,1,1,1,0,0,0,1,0,0,0,1,0
12,0,0,0,0,0,-1,0,0,0,0,1,1,1,0,-1,0,-1,0,-1,0,-1,1,1,1,1,0,1,0,0,0,0,0,1,0
13,0,0,0,0,0,-1,0,0,0,0,1,1,1,-1,-1,0,-1,0,-1,0,-1,1,1,1,1,0,1,0,0,0,0,0,1,0
14,0,0,0,0,0,-1,0,0,-1,0,1,1,1,-1,-1,0,-1,0,-1,0,-1,1,1,1,1,0,1,0,0,0,0,1,0,0
15,0,0,0,0,0,-1,0,-1,-1,0,1,1,1,-1,-1,0,-1,0,-1,0,-1,1,1,1,1,0,1,0,0,0,1,0,0,0
16,0,0,0,0,0,-1,-1,-1,-1,0,1,1,1,-1,-1,0,-1,0,-1,0,-1,1,1,1,1,0,1,0,0,0,0,0,0,1
17,0,0,0,0,1,-1,-1,-1,-1,0,1,1,1,-1,-1,0,-1,0,-1,0,-1,1,1,1,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9,-1,0,0,0,-1,0,-1,1,0,0,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
10,-1,0,0,0,-1,0,-1,1,1,0,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,-1,0,0,0,-1,0,-1,1,1,1,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12,-1,0,0,0,-1,1,-1,1,1,1,0,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
13,-1,0,0,0,-1,1,-1,1,1,1,1,0,-1,-1,0,0,0,-1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
14,-1,0,0,0,-1,1,-1,1,1,1,1,0,-1,-1,0,1,0,-1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
3,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,0
6,-1,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,0,0,1,0
7,-1,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,0,0,1,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,1
8,-1,0,0,0,0,0,-1,0,0,0,1,0,-1,-1,0,0,0,0,1,1,0,0,0,0,-1,0,0,0,1,0,0,0,1,0
9,-1,0,0,0,0,0,-1,0,1,0,1,0,-1,-1,0,0,0,0,1,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0
10,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,0,0,0,0,1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,1
11,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,0,0,0,0,1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,1
12,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,-1,0,0,0,1,-1,0,0,0,0,-1,0,1,0,0,1,0,0,0,0
13,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,-1,0,0,0,1,-1,1,0,0,0,-1,1,0,0,0,1,0,0,0,0
14,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,-1,1,0,0,1,-1,1,0,0,0,-1,1,0,0,0,0,1,0,0,0
15,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,-1,1,0,0,1,-1,1,-1,0,0,-1,0,1,0,0,0,1,0,0,0
16,-1,0,0,0,0,0,-1,0,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,0,0,-1,0,1,0,0,0,0,0,0,1
17,-1,0,0,0,-1,0,-1,0,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,0,0,-1,0,1,0,0,0,0,0,1,0
18,-1,0,0,-1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,0,0,-1,0,1,0,0,0,1,0,0,0
19,-1,-1,0,-1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,0,0,-1,0,1,0,0,0,0,1,0,0
20,-1,-1,-1,-1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,0,0,-1,0,1,0,0,0,0,1,0,0
21,-1,-1,-1,-1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,-1,0,-1,0,1,0,0,0,0,0,1,0
22,-1,-1,-1,-1,-1,0,-1,0,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,-1,-1,-1,0,1,0,0,0,0,1,0,0
23,-1,-1,-1,-1,-1,0,-1,1,1,0,-1,0,-1,-1,-1,1,-1,0,1,-1,1,-1,-1,-1,-1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
6,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
7,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
8,0,-1,0,0,0,0,0,0,0,-1,0,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
9,0,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
10,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
11,0,-1,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,1,0,0,0
12,0,-1,0,0,-1,0,1,0,0,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,-1,0,0,1,1,0,0,0,0,0,1,0,0
13,0,-1,0,0,-1,0,1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,-1,0,0,1,1,0,0,0,0,0,0,1,0
14,0,-1,0,0,-1,0,1,1,1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,-1,0,0,1,1,0,0,0,1,0,0,0,0
15,0,-1,0,0,-1,1,1,1,1,-1,-1,-1,-1,-1,1,0,0,0,0,1,0,-1,0,0,1,0,0,0,1,1,0,0,0,0
16,0,-1,0,0,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0,0,0,1,0,-1,0,0,1,0,1,0,0,0,0,1,0,0
17,0,-1,0,0,-1,1,1,1,1,-1,-1,-1,-1,-1,1,-1,0,1,0,1,0,-1,0,0,1,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,1,0,0,0,0
5,-1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0
6,-1,-1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,1,0,0
7,-1,-1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0
8,-1,-1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,1
9,-1,-1,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0
10,-1,-1,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,0,1,0,0,0,0,1,0,0
11,-1,-1,0,0,0,1,1,1,1,-1,0,0,0,0,0,0,0,1,-1,0,-1,0,0,-1,0,1,0,0,0,0,0,1,0,0
12,-1,-1,0,0,0,1,1,1,1,-1,0,0,-1,0,0,0,0,1,-1,0,-1,0,0,-1,0,0,1,0,0,0,1,0,0,0
13,-1,-1,0,0,0,1,1,1,1,-1,0,0,-1,0,0,0,-1,1,-1,0,-1,0,0,-1,0,0,1,0,0,0,0,1,0,0
14,-1,-1,0,0,0,1,1,1,1,-1,0,0,-1,0,0,0,-1,1,-1,0,-1,0,1,-1,0,0,0,0,1,0,1,0,0,0
15,-1,-1,0,0,0,1,1,1,1,-1,0,0,-1,0,0,0,-1,1,-1,0,-1,-1,1,-1,0,0,1,0,0,0,0,0,0,1
16,-1,-1,0,0,0,1,1,1,1,-1,0,0,-1,0,0,0,-1,1,-1,0,-1,-1,1,-1,1,1,0,0,0,0,0,0,0,1
17,-1,-1,0,0,0,1,1,1,1,-1,0,0,-1,0,0,0,-1,1,-1,1,-1,-1,1,-1,1,1,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3,1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
4,1,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5,1,-1,0,0,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
6,1,-1,0,0,0,1,0,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
7,1,-1,0,0,0,1,0,0,0,0,1,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
8,1,-1,0,0,0,1,0,0,0,0,1,-1,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1
9,1,-1,0,0,0,1,0,0,0,0,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1
10,1,-1,0,0,1,1,0,0,0,0,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,1
11,1,-1,0,0,1,1,0,0,0,1,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,1,0
12,1,-1,0,-1,1,1,0,0,0,1,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,1,0
13,1,-1,0,-1,1,1,0,0,-1,1,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,1
14,1,-1,0,-1,1,1,0,0,-1,1,1,-1,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,1
15,1,-1,0,-1,1,1,0,0,-1,1,1,-1,0,-1,-1,-1,0,0,0,1,-1,0,0,0,-1,1,0,0,0,0,0,0,1,0
16,1,-1,0,-1,1,1,0,0,-1,1,1,-1,0,-1,-1,-1,0,0,1,1,-1,0,0,0,-1,1,0,0,0,0,0,1,0,0
17,1,-1,0,-1,1,1,0,0,-1,1,1,-1,0,-1,-1,-1,0,1,1,1,-1,0,0,0,-1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
3,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
4,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
5,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
6,-1,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
7,-1,0,0,0,0,0,-1,-1,0,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
8,-1,0,0,0,0,0,-1,-1,0,0,0,1,1,-1,0,0,0,-1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
9,-1,0,0,0,0,0,-1,-1,0,0,1,1,1,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
10,-1,0,0,0,0,0,-1,-1,0,0,1,1,1,-1,0,0,0,-1,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
11,-1,0,0,0,0,0,-1,-1,0,0,1,1,1,-1,-1,0,0,-1,0,-1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
12,-1,0,0,0,0,0,-1,-1,0,1,1,1,1,-1,-1,0,0,-1,0,-1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
13,-1,0,0,0,1,0,-1,-1,0,1,1,1,1,-1,-1,0,0,-1,0,-1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
14,-1,0,0,0,1,0,-1,-1,0,1,1,1,1,-1,-1,0,0,-1,0,-1,0,0,0,1,1,1,0,0,0,0,0,1,0,0
15,-1,0,0,0,1,0,-1,-1,0,1,1,1,1,-1,-1,0,0,-1,0,-1,0,0,1,1,1,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
6,-1,0,0,0,-1,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
7,-1,0,0,0,-1,1,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
8,-1,0,0,0,-1,1,0,0,0,0,1,0,-1,0,-1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
9,-1,0,0,0,-1,1,-1,0,0,0,1,0,-1,0,-1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
10,-1,0,-1,0,-1,1,-1,0,0,0,1,0,-1,0,-1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
11,-1,0,-1,0,-1,1,-1,0,0,0,1,0,-1,0,-1,1,0,0,0,0,1,0,-1,0,0,0,1,0,0,0,0,1,0,0
12,-1,0,-1,0,-1,1,-1,0,0,0,1,0,-1,0,-1,1,0,-1,0,0,1,0,-1,0,0,0,1,0,0,0,0,1,0,0
